_id,name,note,lat,lng,imageUrl,createdAt
in-pond-udaipur-1,Pichola Shore,"Calm water, ghats nearby.",24.5740,73.6797,/pond-placeholder.svg,2025-07-20T08:00:00.000Z
in-pond-kolkata-1,Victoria Lake,"Lotus patches observed.",22.5460,88.3426,/pond-placeholder.svg,2025-07-22T09:30:00.000Z
in-pond-bengaluru-1,Ulsoor Pond,"Morning samples, joggers around.",12.9833,77.6287,/pond-placeholder.svg,2025-07-25T06:45:00.000Z
in-pond-chennai-1,Adyar Backwater,"Brackish hints.",13.0039,80.2550,/pond-placeholder.svg,2025-07-28T07:10:00.000Z
in-pond-kochi-1,Vembanad Edge,"Mangroves in sight.",9.6031,76.3542,/pond-placeholder.svg,2025-07-30T10:00:00.000Z
in-pond-varanasi-1,Assi Sarovar,"Pilgrim area, moderate turbidity.",25.2806,83.0076,/pond-placeholder.svg,2025-08-01T12:00:00.000Z
in-pond-pune-1,Pashan Pond,"Birds frequent, clear surface.",18.5385,73.7800,/pond-placeholder.svg,2025-08-02T07:55:00.000Z
in-pond-hyderabad-1,Durgam Cheruvu,"Rocky edges, afternoon sample.",17.4350,78.3950,/pond-placeholder.svg,2025-08-03T15:20:00.000Z
in-pond-jaipur-1,Man Sagar Verge,"Near Jal Mahal view.",26.9533,75.8416,/pond-placeholder.svg,2025-08-04T09:15:00.000Z
in-pond-guwahati-1,Deepor Beel Rim,"Wetland fringe.",26.1100,91.6550,/pond-placeholder.svg,2025-08-05T08:40:00.000Z
in-pond-bhopal-1,Upper Lake Cove,"Kayaks nearby.",23.2335,77.3827,/pond-placeholder.svg,2025-08-06T16:05:00.000Z
in-pond-ahmedabad-1,Thol Wetland Spot,"Shallow edge, reeds.",23.0865,72.4375,/pond-placeholder.svg,2025-08-07T10:30:00.000Z
in-pond-lucknow-1,Gomti Bend Pool,"Moderate flow, urban.",26.8600,80.9500,/pond-placeholder.svg,2025-08-08T11:00:00.000Z
in-pond-mysuru-1,Kukkarahalli Edge,"Algae bloom light.",12.3207,76.6311,/pond-placeholder.svg,2025-08-09T07:20:00.000Z
in-pond-shillong-1,Wards Lake Patch,"Clear and cool.",25.5750,91.8830,/pond-placeholder.svg,2025-08-10T09:50:00.000Z
in-pond-trivandrum-1,Veli Lagoon Point,"Brackish, serene.",8.5200,76.9000,/pond-placeholder.svg,2025-08-11T17:35:00.000Z
